[2026-02-11 10:25:25,004] INFO      [HARSHIT] Starting adapter
[2026-02-11 10:25:25,005] INFO      [HARSHIT] Adapter INIT | Zerodha adapter starting
[2026-02-11 10:25:25,005] INFO      [HARSHIT] LOGIN_START | Starting Zerodha login
[2026-02-11 10:25:29,341] INFO      [HARSHIT] LOGIN_SUCCESS | Access token received: 0C0k4AL1tDXWuCb4yghyno069ZTau1sp
[2026-02-11 10:25:29,341] INFO      [HARSHIT] [INSTRUMENTS] CSV already exists
[2026-02-11 10:25:29,462] INFO      [HARSHIT] [INSTRUMENTS] Loaded 169364 rows
[2026-02-11 10:25:29,463] INFO      [HARSHIT] INSTRUMENTS_READY | Instruments loaded
[2026-02-11 10:25:29,463] INFO      [HARSHIT] Adapter READY | Zerodha adapter initialized
[2026-02-11 10:25:29,463] INFO      [HARSHIT] WS_START | Starting Zerodha WebSocket
[2026-02-11 10:25:29,526] INFO      [HARSHIT] Adapter connected successfully
[2026-02-11 10:25:29,604] INFO      [HARSHIT] [WS] Connected to Zerodha
[2026-02-11 10:25:39,428] INFO      [HARSHIT] COMMAND | action=PLACE_ORDER payload={'Account': '', 'ExchangeClientID': 'HARSHIT', 'ExchangeSegment': 'NSEFO', 'ExchangeInstrumentID': 59182, 'SymbolName': 'NIFTY', 'ExchangeInstrumentName': 'NIFTY 24FEB2026', 'ProductType': 'MIS', 'OrderType': 'LIMIT', 'OrderSide': 'Buy', 'TimeInForce': 'GFD', 'DisclosedQuantity': 0, 'OrderQuantity': 65, 'LimitPrice': 25000.0, 'StopPrice': 0.0, 'BlitzAppOrderID': 3156807897, 'AlgoID': '123456789', 'AlgoCategory': '123654789123', 'IsFictiveOrder': 'False'}
[2026-02-11 10:25:39,429] INFO      [HARSHIT] CACHE_TEMP | blitz_id=3156807897
[2026-02-11 10:25:39,445] INFO      [HARSHIT] ZERODHA_REST_OUT | payload={'tradingsymbol': 'NIFTY26FEBFUT', 'exchange': 'NFO', 'transaction_type': 'BUY', 'order_type': 'LIMIT', 'quantity': 65, 'product': 'MIS', 'price': 25000.0, 'trigger_price': 0.0, 'validity': 'DAY', 'disclosed_quantity': 0}
[2026-02-11 10:25:39,557] INFO      [HARSHIT] ZERODHA_REST_IN | payload={'status': 'success', 'data': {'order_id': '260211150572978'}}
[2026-02-11 10:25:39,557] INFO      [HARSHIT] ORDER_PLACED | blitz=3156807897 zerodha=260211150572978
[2026-02-11 10:25:39,558] INFO      [HARSHIT] ZERODHA_WS_RESPONSE | payload={'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '260211150572978', 'exchange_order_id': None, 'parent_order_id': None, 'status': 'REJECTED', 'status_message': 'Insufficient funds. Required margin is 191544.52 but available margin is 653.40. Check orderbook for open orders.', 'status_message_raw': 'RMS:Margin Exceeds,Required:191544.52, Available:653.40 for entity account-RGZ539 across exchange across segment across product ', 'order_timestamp': '2026-02-11 10:25:39', 'exchange_update_timestamp': None, 'exchange_timestamp': None, 'variety': 'regular', 'exchange': 'NFO', 'tradingsymbol': 'NIFTY26FEBFUT', 'instrument_token': 15150594, 'order_type': 'LIMIT', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 65, 'disclosed_quantity': 0, 'price': 25000, 'trigger_price': 0, 'average_price': 0, 'filled_quantity': 0, 'pending_quantity': 0, 'cancelled_quantity': 0, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': '205871XnRUfAud2IBEV'}
